tank,FLUCT,pred,COMP,Cer_ug,Dapp_ug,Sca_ug,Clad_ug,e_chl,i_chl,cop_ug
5,150,,DAPSCA,,0.9,21.10774553,,18.7,0.005,
5,150,,DAPSCA,,10.83397921,74.64799178,,63.98,3.26,
5,150,,DAPSCA,,45.26820383,220.4780342,,96.65,15.33,
5,150,,DAPSCA,,174.7115526,661.9659799,,14.96,0.005,
5,150,,DAPSCA,,94.51927993,685.5507162,,0.41,1.83,
5,150,,DAPSCA,,320.7690905,481.8765738,,2.37,0.59,
5,150,,DAPSCA,,766.0177268,314.1239215,,2.15,0.14,
5,150,,DAPSCA,,729.0430727,225.233564,,2.15,0.14,
5,150,,DAPSCA,,452.471289,63.90080611,,2.93,0.08,
5,150,,DAPSCA,,1655.208748,79.09722412,,3.49,0.29,
5,150,,DAPSCA,,465.402079,110.1221476,,2.07,0.23,
5,150,,DAPSCA,,598.6187932,73.95309235,,2.36,0.1,
5,150,,DAPSCA,,265.2171432,24.64242729,,1.75,0.13,
5,150,,DAPSCA,,163.1936308,40.96106249,,1.67,0.13,
5,150,,DAPSCA,,88.93273872,512.0529431,,2.16,0.005,
5,150,,DAPSCA,,216.561286,25.09647626,,1.67,0.02,
5,150,,DAPSCA,,343.0618424,24.64242729,,1.84,0.28,
5,150,,DAPSCA,,154.5297776,30.91009373,,1.69,0.36,
5,150,,DAPSCA,,9.184514364,18.45666872,,1.99,0.26,
5,150,,DAPSCA,,346.3607721,42.57538566,,1.81,0.16,
5,150,,DAPSCA,,383.3212601,29.67726123,,1.6,0.53,
5,150,,DAPSCA,,210.4603538,27.16129273,,28.75,356.65,
5,150,,DAPSCA,,41.26284003,6.088048514,,3.02,454.19,
5,150,,DAPSCA,,78.49074167,7.371184514,,37.21,1271.95,
5,150,,DAPSCA,,115.6665772,1.980011652,,16.05,201.72,
5,150,,DAPSCA,,129.0718029,4.659795897,,14.06,9985.39,
10,150,,DAPSCA,,16.80828762,19.4840728,,161.46,0.005,
10,150,,DAPSCA,,110.7773318,41.41155578,,143.45,7.87,
10,150,,DAPSCA,,427.118689,311.6213822,,35.28,0.005,
10,150,,DAPSCA,,259.9067707,66.58480478,,2.37,0.005,
10,150,,DAPSCA,,484.8690945,41.2829001,,2.16,0.01,
10,150,,DAPSCA,,107.4629936,25.09937321,,2.25,0.28,
10,150,,DAPSCA,,146.2516364,124.3588466,,1.53,0.02,
10,150,,DAPSCA,,352.5137704,102.4652062,,1.53,0.02,
10,150,,DAPSCA,,228.2129146,43.54669236,,1.84,0.11,
10,150,,DAPSCA,,346.5998535,53.67311637,,2.16,0.07,
10,150,,DAPSCA,,129.7711539,31.91879868,,1.68,0.25,
10,150,,DAPSCA,,281.6551274,57.07848369,,1.57,0.12,
10,150,,DAPSCA,,271.7866705,22.59920689,,1.68,0.005,
10,150,,DAPSCA,,235.2568775,21.47053707,,1.72,0.005,
10,150,,DAPSCA,,404.2319607,10.45471424,,1.44,0.11,
10,150,,DAPSCA,,243.7432832,11.1357877,,1.68,0.04,
10,150,,DAPSCA,,111.9511186,8.506306956,,1.95,0.16,
10,150,,DAPSCA,,205.5640254,13.2796151,,1.63,0.44,
10,150,,DAPSCA,,227.7076619,13.50663959,,1.85,1.65,
10,150,,DAPSCA,,260.4840962,30.91009373,,1.9,0.43,
10,150,,DAPSCA,,486.1624219,30.24771939,,1.93,0.59,
10,150,,DAPSCA,,366.1639181,16.24317995,,1.91,0.76,
10,150,,DAPSCA,,252.7857653,17.86685269,,2.02,0.32,
10,150,,DAPSCA,,203.9512181,16.60886844,,1.77,0.13,
10,150,,DAPSCA,,168.3432068,14.70786771,,2.97,0.53,
10,150,,DAPSCA,,455.5998543,19.49052542,,2.04,0.96,
83,150,,DAPSCA,,5.416989607,20.13354189,,29.17,3.17,
83,150,,DAPSCA,,8.523063333,105.5358307,,50.92,2.66,
83,150,,DAPSCA,,166.745808,475.4508855,,41.81,1.64,
83,150,,DAPSCA,,205.831439,933.6157815,,3.4,0.5,
83,150,,DAPSCA,,562.2972646,208.473785,,4.91,0.15,
83,150,,DAPSCA,,369.0392359,77.77247544,,4.27,0.37,
83,150,,DAPSCA,,622.8425896,101.2307943,,3.22,0.17,
83,150,,DAPSCA,,173.5519319,42.00848318,,3.22,0.17,
83,150,,DAPSCA,,388.2105055,60.77408425,,3.05,0.2,
83,150,,DAPSCA,,614.3136856,62.92949941,,3.65,0.06,
83,150,,DAPSCA,,304.6010048,37.95944064,,2.01,0.13,
83,150,,DAPSCA,,125.3126036,14.3515288,,1.36,0.74,
83,150,,DAPSCA,,198.6087862,18.70239233,,2.21,0.05,
83,150,,DAPSCA,,846.6881623,8.701727073,,1.51,0.29,
83,150,,DAPSCA,,397.8423658,15.84009322,,1.7,0.3,
83,150,,DAPSCA,,615.799869,14.2509218,,1.74,0.005,
83,150,,DAPSCA,,268.9326019,22.04455091,,1.47,0.25,
83,150,,DAPSCA,,109.8259756,4.495980153,,2.3,0.02,
83,150,,DAPSCA,,679.1376286,51.00044348,,2.53,0.14,
83,150,,DAPSCA,,545.6451754,82.40777833,,1.98,0.33,
83,150,,DAPSCA,,431.9996089,63.50996588,,2.95,0.22,
83,150,,DAPSCA,,368.8238884,82.01404115,,2.42,0.57,
83,150,,DAPSCA,,584.381752,108.4497508,,2.5,0.3,
83,150,,DAPSCA,,492.018432,133.3321078,,2.96,0.8,
83,150,,DAPSCA,,1219.426206,28.12904375,,4.81,1.68,
83,150,,DAPSCA,,1288.204689,23.83493633,,4.35,3.05,
92,150,,DAPSCA,,1.805663202,13.9635855,,37.83,14.19,
92,150,,DAPSCA,,3.611326405,175.7891081,,44.62,0.79,
92,150,,DAPSCA,,66.11851288,794.9981082,,34.1,1.28,
